raiz,tolerancia,metodo,funcion
1.4142074584960938,1e-05,biseccion,f1(x)
1.4142135623746899,1e-05,NR,f1(x)
1.4142135623715002,1e-05,NRM,f1(x)
1.4142135620573204,1e-05,secante,f1(x)
1.4142135623731364,1e-05,brentq,f1(x)
1.4142135623730496,1e-13,biseccion,f1(x)
1.414213562373095,1e-13,NR,f1(x)
1.4142135623730951,1e-13,NRM,f1(x)
1.4142135623730951,1e-13,secante,f1(x)
1.4142135623731364,1e-13,brentq,f1(x)
1.2000045776367188,1e-05,biseccion,f2(x)
1.1999826569716792,1e-05,NR,f2(x)
1.1999999399606254,1e-05,NRM,f2(x)
1.200029774927045,1e-05,secante,f2(x)
1.2000081652661798,1e-05,brentq,f2(x)
1.2000045776367188,1e-13,biseccion,f2(x)
1.200007374996903,1e-13,NR,f2(x)
1.199999711987405,1e-13,NRM,f2(x)
1.200008240328756,1e-13,secante,f2(x)
1.2000081652661798,1e-13,brentq,f2(x)
1.5,1e-05,biseccion,f3(x)
1.500000000000001,1e-05,NR,f3(x)
1.5,1e-05,NRM,f3(x)
1.5000000000048475,1e-05,secante,f3(x)
1.5000000000000198,1e-05,brentq,f3(x)
1.5,1e-13,biseccion,f3(x)
1.5,1e-13,NR,f3(x)
1.5,1e-13,NRM,f3(x)
1.5,1e-13,secante,f3(x)
1.5000000000000198,1e-13,brentq,f3(x)
